horizon,model,strategy_total_return,strategy_cagr,strategy_ann_vol,strategy_sharpe,strategy_sortino,strategy_max_drawdown,strategy_calmar,strategy_win_rate_daily,strategy_profit_factor,strategy_exposure,strategy_turnover,strategy_beta_to_buy_hold,strategy_alpha_annualized,strategy_information_ratio,buy_hold_total_return,buy_hold_sharpe
20,SVR,0.5086952606788993,0.1186191356937698,0.1319701926749965,0.9244573989390649,0.05000935329407616,-0.1503414996913024,0.7889979542397249,0.26229508196721313,1.2864040333962394,0.4721311475409836,0.2612021857923497,0.46527339768852655,0.07486952034862336,0.14632684836149518,0.34903593692112045,0.5234249215174105
20,Random Forest,0.7399289109488973,0.1629546648782112,0.14357314983149622,1.1346756379266831,0.06944228717761051,-0.11982235433454125,1.3599688120235522,0.38688524590163936,1.294866056488374,0.6666666666666666,0.09726775956284153,0.5514321719930223,0.10704993646608293,0.47589648816246916,0.34903593692112045,0.5234249215174105
20,XGBoost,0.08964867992320857,0.023677960201342163,0.16413303593966022,0.2267129907984973,0.01293702429899624,-0.18107254576205212,0.13076504834950203,0.3825136612021858,1.0544674466503785,0.673224043715847,0.1377049180327869,0.7190277314951343,-0.03562503542062102,-0.6244474764433814,0.34903593692112045,0.5234249215174105
20,LightGBM,0.12687797107423204,0.03309515236471117,0.14762899921996422,0.2971300855598655,0.016202579097531058,-0.20923962949143515,0.1581686626245238,0.34207650273224044,1.0758484707600668,0.6021857923497268,0.14863387978142076,0.5816346351308278,-0.015053453191135612,-0.45866820928714774,0.34903593692112045,0.5234249215174105
20,CatBoost,0.18097994362741687,0.046384935258502846,0.155037124199104,0.37351303865961505,0.02059190618222898,-0.19692261992102267,0.2355490460014491,0.3551912568306011,1.094913778753272,0.6185792349726776,0.13114754098360656,0.6415011033280769,-0.007074441132394969,-0.3743126150258348,0.34903593692112045,0.5234249215174105
20,HMM Regime,0.389430241893842,0.09378930640226901,0.11796206648918355,0.8274550025757671,0.0436471913298767,-0.1647333557060101,0.5693401072315266,0.3300546448087432,1.2186819216013347,0.5693989071038251,0.036065573770491806,0.37148944129316525,0.059977135806961034,-0.024048259455110004,0.34903593692112045,0.5234249215174105
60,MACD 12-26-9,0.42741903608325105,0.10186100383743746,0.11474683935012003,0.9119070232840213,0.04918815286806464,-0.17791181053636862,0.572536491705339,0.307103825136612,1.2521811567100951,0.5344262295081967,0.06994535519125683,0.3515876795299508,0.06902329268529503,0.021435553791756927,0.34903593692112045,0.5234249215174105
60,SVC,0.020118503035885915,0.005444125158998503,0.14299788205042632,0.11045556880775927,0.00607259311408839,-0.2511011792025555,0.021681001962188706,0.3344262295081967,1.026994330423219,0.6120218579234973,0.17704918032786884,0.5458227537329922,-0.039495883222156095,-0.6554721172254423,0.34903593692112045,0.5234249215174105
60,SVR,0.12297505243700901,0.03211862100998997,0.13327467406142895,0.30675369711511563,0.01574932061550918,-0.26017296159751124,0.12345103354620539,0.28852459016393445,1.0844248334975046,0.5278688524590164,0.1901639344262295,0.4739818020944416,-0.007130946333661807,-0.430322075313843,0.34903593692112045,0.5234249215174105
60,Random Forest,0.25376034989249185,0.06358153577434877,0.14297716045471026,0.5072208582258322,0.029384766603044284,-0.16291004361585182,0.3902861626154646,0.30601092896174864,1.1370621101264853,0.546448087431694,0.06557377049180328,0.5455864243273022,0.017254142124648764,-0.22053042229803582,0.34903593692112045,0.5234249215174105
60,XGBoost,0.1940273784197546,0.049523433897909364,0.14613932914716093,0.4076201654114312,0.02335414602444133,-0.17447611401043783,0.28384076627787963,0.35300546448087433,1.103591997029386,0.6262295081967213,0.041530054644808745,0.5699539271148607,0.0018341004257441903,-0.32869862084612084,0.34903593692112045,0.5234249215174105
60,LightGBM,0.47728546402242844,0.11222256602487057,0.1296429918977733,0.8939413965783849,0.05063607130627819,-0.16197652150620578,0.6928323005169055,0.29508196721311475,1.2631848451992767,0.5169398907103825,0.08743169398907104,0.44892942633348987,0.0704175494018871,0.10160828988603217,0.34903593692112045,0.5234249215174105
60,CatBoost,0.3605620356791641,0.08754748635184906,0.14000613856988373,0.6759345824143661,0.03708803142577833,-0.15074607829557585,0.5807612864076639,0.31693989071038253,1.1878689551969945,0.5453551912568306,0.11584699453551912,0.5232931368161383,0.04162640206838465,-0.049862321300882424,0.34903593692112045,0.5234249215174105
60,HMM Regime,0.5407971812941872,0.12505732829763572,0.14119197972631492,0.9145259228978577,0.057146180329694304,-0.12908270813805778,0.9688154990045855,0.4448087431693989,1.2088188278114735,0.7770491803278688,0.034972677595628415,0.5326442959147695,0.07516788238436808,0.21040296075119758,0.34903593692112045,0.5234249215174105
