horizon,model,feature,importance
60,CatBoost,vol_60,7.140425342594593
60,CatBoost,range_pct,5.923162200148741
60,CatBoost,macd_signal,4.641878705941081
60,CatBoost,ret_60,4.029607497917595
60,CatBoost,macd,3.839647399329652
60,CatBoost,sma_ratio_60,2.95380948368575
60,CatBoost,mom_60,2.6301754046316423
60,CatBoost,sma_ratio_20,2.075969854840419
60,CatBoost,vol_10,1.830784551965106
60,CatBoost,mom_20,1.0266952763778563
60,CatBoost,ret_20,0.7612605687204228
60,CatBoost,macd_hist,0.6578991933075192
60,CatBoost,ret_10,0.5896404445262754
60,CatBoost,volume_chg,0.4062633211345616
60,CatBoost,mom_10,0.2672454267340555
